patch,interaction_type,n_noeuds,n_arretes,n_interactions,s2_partners,n_s2_partners,ids_interactions,avg_contacts,s2_seq_clusters,n_s2_seq_clusters,binding_site_clusters,n_binding_site_clusters
0_7797_0,homo,1,1,672,[],0,"[np.int64(1022), np.int64(1002), np.int64(1001), np.int64(1021), np.int64(134), np.int64(135), np.int64(107), np.int64(84), np.int64(3117), np.int64(3118), np.int64(3152), np.int64(3136), np.int64(4505), np.int64(4504), np.int64(4482), np.int64(4448), np.int64(4568), np.int64(4552), np.int64(4587), np.int64(11), np.int64(4206), np.int64(4229), np.int64(4232), np.int64(4170), np.int64(4138), np.int64(4121), np.int64(4123), np.int64(4087), np.int64(3918), np.int64(3940), np.int64(3943), np.int64(3875), np.int64(4046), np.int64(4045), np.int64(4021), np.int64(3981), np.int64(3793), np.int64(3780), np.int64(3840), np.int64(3838), np.int64(3672), np.int64(3742), np.int64(3740), np.int64(3716), np.int64(3282), np.int64(3294), np.int64(3297), np.int64(3262), np.int64(3461), np.int64(3480), np.int64(3501), np.int64(3520), np.int64(3578), np.int64(3577), np.int64(3625), np.int64(3623), np.int64(3340), np.int64(3348), np.int64(3351), np.int64(3319), np.int64(3395), np.int64(3383), np.int64(3427), np.int64(3425), np.int64(421), np.int64(457), np.int64(397), np.int64(440), np.int64(4534), np.int64(4533), np.int64(4556), np.int64(4573), np.int64(3085), np.int64(3100), np.int64(3103), np.int64(3053), np.int64(3191), np.int64(3190), np.int64(3176), np.int64(3139), np.int64(4456), np.int64(4408), np.int64(4429), np.int64(4430), np.int64(4335), np.int64(4336), np.int64(4305), np.int64(4272), np.int64(4241), np.int64(4213), np.int64(4188), np.int64(4174), np.int64(4158), np.int64(4143), np.int64(1925), np.int64(1926), np.int64(1903), np.int64(1882), np.int64(3525), np.int64(3507), np.int64(3486), np.int64(3467), np.int64(3414), np.int64(3433), np.int64(3432), np.int64(3401), np.int64(3746), np.int64(3724), np.int64(3702), np.int64(3679), np.int64(3629), np.int64(3606), np.int64(3584), np.int64(3561), np.int64(3010), np.int64(2997), np.int64(2986), np.int64(2970), np.int64(2726), np.int64(2715), np.int64(2702), np.int64(2664), np.int64(2647), np.int64(2633), np.int64(2600), np.int64(2582), np.int64(2570), np.int64(1093), np.int64(1074), np.int64(1058), np.int64(1043), np.int64(105), np.int64(156), np.int64(155), np.int64(131), np.int64(2823), np.int64(2809), np.int64(2794), np.int64(2762), np.int64(2752), np.int64(2743), np.int64(2939), np.int64(2922), np.int64(2910), np.int64(2884), np.int64(2868), np.int64(2848), np.int64(3847), np.int64(3786), np.int64(3824), np.int64(3800), np.int64(1617), np.int64(1618), np.int64(1595), np.int64(1576), np.int64(1814), np.int64(1816), np.int64(1795), np.int64(1720), np.int64(1722), np.int64(1695), np.int64(1656), np.int64(3882), np.int64(3928), np.int64(3904), np.int64(4003), np.int64(4050), np.int64(4004), np.int64(4027), np.int64(3985), np.int64(3403), np.int64(3417), np.int64(3418), np.int64(3390), np.int64(731), np.int64(714), np.int64(693), np.int64(675), np.int64(660), np.int64(3145), np.int64(3161), np.int64(3162), np.int64(3111), np.int64(2543), np.int64(2525), np.int64(2420), np.int64(2397), np.int64(2375), np.int64(2347), np.int64(2323), np.int64(2213), np.int64(2212), np.int64(2233), np.int64(2232), np.int64(2103), np.int64(2102), np.int64(2120), np.int64(2119), np.int64(1998), np.int64(2019), np.int64(2021), np.int64(1962), np.int64(2457), np.int64(2473), np.int64(2474), np.int64(2412), np.int64(2338), np.int64(2363), np.int64(2364), np.int64(2291), np.int64(2227), np.int64(2247), np.int64(2248), np.int64(2184), np.int64(2115), np.int64(2134), np.int64(2135), np.int64(2079), np.int64(2014), np.int64(2037), np.int64(2038), np.int64(1971), np.int64(1913), np.int64(1934), np.int64(1935), np.int64(1870), np.int64(1714), np.int64(1689), np.int64(1668), np.int64(1650), np.int64(1634), np.int64(1612), np.int64(3346), np.int64(3337), np.int64(3327), np.int64(3316), np.int64(3305), np.int64(3292), np.int64(1571), np.int64(1554), np.int64(1533), np.int64(1514), np.int64(1496), np.int64(1475), np.int64(1442), np.int64(1428), np.int64(1416), np.int64(1401), np.int64(1385), np.int64(1367), np.int64(31), np.int64(8), np.int64(4584), np.int64(4566), np.int64(4521), np.int64(4501), np.int64(4479), np.int64(4464), np.int64(4419), np.int64(4396), np.int64(4373), np.int64(4353), np.int64(4326), np.int64(4227), np.int64(4203), np.int64(4259), np.int64(4260), np.int64(615), np.int64(606), np.int64(595), np.int64(583), np.int64(572), np.int64(556), np.int64(541), np.int64(1125), np.int64(1114), np.int64(1101), np.int64(1085), np.int64(1069), np.int64(1682), np.int64(1823), np.int64(1803), np.int64(1785), np.int64(1762), np.int64(1736), np.int64(2330), np.int64(2303), np.int64(2281), np.int64(2261), np.int64(2240), np.int64(2193), np.int64(2172), np.int64(2148), np.int64(2125), np.int64(2109), np.int64(1037), np.int64(1024), np.int64(1005), np.int64(985), np.int64(962), np.int64(924), np.int64(908), np.int64(892), np.int64(876), np.int64(859), np.int64(1624), np.int64(1603), np.int64(1584), np.int64(3856), np.int64(3857), np.int64(3837), np.int64(3066), np.int64(3050), np.int64(3033), np.int64(1060), np.int64(1045), np.int64(1033), np.int64(444), np.int64(426), np.int64(405), np.int64(383), np.int64(358), np.int64(334), np.int64(309), np.int64(280), np.int64(254), np.int64(224), np.int64(207), np.int64(165), np.int64(146), np.int64(123), np.int64(99), np.int64(76), np.int64(51), np.int64(26), np.int64(4), np.int64(4579), np.int64(4562), np.int64(510), np.int64(498), np.int64(488), np.int64(476), np.int64(828), np.int64(815), np.int64(800), np.int64(783), np.int64(752), np.int64(738), np.int64(724), np.int64(704), np.int64(683), np.int64(653), np.int64(644), np.int64(635), np.int64(622), np.int64(612), np.int64(603), np.int64(549), np.int64(533), np.int64(520), np.int64(506), np.int64(468), np.int64(454), np.int64(438), np.int64(417), np.int64(394), np.int64(567), np.int64(568), np.int64(553), np.int64(524), np.int64(4518), np.int64(4499), np.int64(4476), np.int64(2995), np.int64(3007), np.int64(3008), np.int64(2967), np.int64(1377), np.int64(1360), np.int64(1341), np.int64(1342), np.int64(1310), np.int64(1294), np.int64(4436), np.int64(4439), np.int64(4418), np.int64(4369), np.int64(4349), np.int64(4322), np.int64(4284), np.int64(4255), np.int64(341), np.int64(318), np.int64(290), np.int64(262), np.int64(234), np.int64(212), np.int64(195), np.int64(157), np.int64(137), np.int64(110), np.int64(87), np.int64(63), np.int64(39), np.int64(15), np.int64(4571), np.int64(4529), np.int64(4509), np.int64(4490), np.int64(4470), np.int64(4455), np.int64(4405), np.int64(4362), np.int64(4333), np.int64(4301), np.int64(4268), np.int64(4238), np.int64(4130), np.int64(4115), np.int64(4097), np.int64(4075), np.int64(4055), np.int64(4032), np.int64(4009), np.int64(3989), np.int64(3955), np.int64(3931), np.int64(3908), np.int64(3885), np.int64(3868), np.int64(3852), np.int64(3829), np.int64(3806), np.int64(1165), np.int64(1157), np.int64(1147), np.int64(1259), np.int64(1260), np.int64(1232), np.int64(1208), np.int64(1192), np.int64(1177), np.int64(1770), np.int64(1746), np.int64(1718), np.int64(1693), np.int64(4557), np.int64(4536), np.int64(4516), np.int64(4497), np.int64(4458), np.int64(4432), np.int64(4411), np.int64(4390), np.int64(3218), np.int64(3200), np.int64(3183), np.int64(3167), np.int64(3148), np.int64(3112), np.int64(3094), np.int64(3078), np.int64(3063), np.int64(3045), np.int64(3004), np.int64(2992), np.int64(2979), np.int64(2963), np.int64(2948), np.int64(2902), np.int64(2890), np.int64(2878), np.int64(2857), np.int64(2842), np.int64(2816), np.int64(2802), np.int64(2786), np.int64(2770), np.int64(2760), np.int64(2739), np.int64(2731), np.int64(2721), np.int64(2709), np.int64(2696), np.int64(2657), np.int64(2640), np.int64(2623), np.int64(2609), np.int64(2593), np.int64(4125), np.int64(4155), np.int64(4154), np.int64(4140), np.int64(1224), np.int64(1213), np.int64(1200), np.int64(1184), np.int64(1163), np.int64(1154), np.int64(1143), np.int64(1131), np.int64(2733), np.int64(2724), np.int64(2713), np.int64(1138), np.int64(995), np.int64(972), np.int64(918), np.int64(898), np.int64(1111), np.int64(1097), np.int64(1080), np.int64(1064), np.int64(1049), np.int64(1018), np.int64(998), np.int64(976), np.int64(955), np.int64(900), np.int64(887), np.int64(870), np.int64(853), np.int64(839), np.int64(2559), np.int64(2546), np.int64(2529), np.int64(2506), np.int64(2485), np.int64(811), np.int64(793), np.int64(794), np.int64(777), np.int64(3976), np.int64(3959), np.int64(3960), np.int64(3934), np.int64(3935), np.int64(422), np.int64(399), np.int64(376), np.int64(350), np.int64(327), np.int64(301), np.int64(273), np.int64(246), np.int64(218), np.int64(3946), np.int64(3948), np.int64(3922), np.int64(3925), np.int64(3899), np.int64(3878), np.int64(3846), np.int64(786), np.int64(787), np.int64(773), np.int64(757), np.int64(451), np.int64(465), np.int64(466), np.int64(433), np.int64(339), np.int64(365), np.int64(366), np.int64(315), np.int64(3255), np.int64(3264), np.int64(3251), np.int64(3239), np.int64(3226), np.int64(2444), np.int64(2446), np.int64(2400), np.int64(2402), np.int64(2350), np.int64(4341), np.int64(4344), np.int64(4278), np.int64(4310), np.int64(4218), np.int64(2257), np.int64(2277), np.int64(2236), np.int64(2216), np.int64(2300), np.int64(733), np.int64(717), np.int64(697), np.int64(679), np.int64(2122), np.int64(2144), np.int64(2168), np.int64(2170), np.int64(228), np.int64(229), np.int64(209), np.int64(1592), np.int64(1593), np.int64(1574), np.int64(3156), np.int64(3157), np.int64(3141), np.int64(3125), np.int64(4102), np.int64(4082), np.int64(4060), np.int64(4040), np.int64(4017), np.int64(180), np.int64(181), np.int64(164), np.int64(2926), np.int64(2913), np.int64(2872), np.int64(2851), np.int64(3615), np.int64(3617), np.int64(3595), np.int64(3569), np.int64(3571), np.int64(3528), np.int64(3491), np.int64(3471), np.int64(3452), np.int64(3437), np.int64(3421), np.int64(3769), np.int64(3749), np.int64(3728), np.int64(3706), np.int64(3682), np.int64(3660), np.int64(3633), np.int64(3610), np.int64(3588), np.int64(3564), np.int64(2552), np.int64(2565), np.int64(2566), np.int64(2516), np.int64(2469), np.int64(2454), np.int64(2432), np.int64(2409), np.int64(3977), np.int64(3962), np.int64(3938), np.int64(3915), np.int64(3893), np.int64(1921), np.int64(1900), np.int64(1879), np.int64(1855), np.int64(1835), np.int64(2271), np.int64(2252), np.int64(2162), np.int64(2139), np.int64(2069), np.int64(2048), np.int64(2027), np.int64(2003), np.int64(1568), np.int64(1569), np.int64(1552), np.int64(1530), np.int64(70), np.int64(47), np.int64(1470), np.int64(1471), np.int64(1454), np.int64(1441)]",35.95,6685,1,"['6685_1', '6685_109', '6685_2', '6685_216']",4
0_7797_1,homo,1,1,535,[],0,"[np.int64(982), np.int64(1020), np.int64(981), np.int64(132), np.int64(133), np.int64(60), np.int64(3151), np.int64(3134), np.int64(3099), np.int64(4481), np.int64(4506), np.int64(4483), np.int64(4567), np.int64(4588), np.int64(12), np.int64(4230), np.int64(4207), np.int64(4231), np.int64(4137), np.int64(4107), np.int64(4122), np.int64(3941), np.int64(3919), np.int64(3942), np.int64(4020), np.int64(4047), np.int64(4022), np.int64(3794), np.int64(3839), np.int64(3816), np.int64(3695), np.int64(3717), np.int64(3741), np.int64(3295), np.int64(3283), np.int64(3296), np.int64(3481), np.int64(3502), np.int64(3521), np.int64(3555), np.int64(3624), np.int64(3602), np.int64(3349), np.int64(3341), np.int64(3350), np.int64(3396), np.int64(3426), np.int64(3409), np.int64(420), np.int64(441), np.int64(458), np.int64(4555), np.int64(4572), np.int64(4513), np.int64(3101), np.int64(3086), np.int64(3102), np.int64(3175), np.int64(3192), np.int64(3177), np.int64(4457), np.int64(4428), np.int64(4387), np.int64(4337), np.int64(4338), np.int64(4304), np.int64(4306), np.int64(4273), np.int64(4242), np.int64(4214), np.int64(4189), np.int64(4175), np.int64(1923), np.int64(1924), np.int64(1859), np.int64(3526), np.int64(3508), np.int64(3487), np.int64(3430), np.int64(3388), np.int64(3431), np.int64(3747), np.int64(3725), np.int64(3703), np.int64(3630), np.int64(3607), np.int64(3585), np.int64(3011), np.int64(2998), np.int64(2987), np.int64(2727), np.int64(2716), np.int64(2665), np.int64(2648), np.int64(2601), np.int64(2583), np.int64(152), np.int64(82), np.int64(153), np.int64(2824), np.int64(2810), np.int64(2763), np.int64(2753), np.int64(2940), np.int64(2923), np.int64(2885), np.int64(2869), np.int64(3801), np.int64(3848), np.int64(3825), np.int64(1615), np.int64(1616), np.int64(1561), np.int64(1815), np.int64(1796), np.int64(1721), np.int64(1723), np.int64(1696), np.int64(3905), np.int64(3929), np.int64(4026), np.int64(4051), np.int64(3970), np.int64(4002), np.int64(3415), np.int64(3416), np.int64(3375), np.int64(732), np.int64(715), np.int64(694), np.int64(676), np.int64(3160), np.int64(3129), np.int64(3164), np.int64(2421), np.int64(2376), np.int64(2348), np.int64(2167), np.int64(2231), np.int64(2190), np.int64(2068), np.int64(2118), np.int64(2085), np.int64(2020), np.int64(1999), np.int64(2022), np.int64(2472), np.int64(2437), np.int64(2475), np.int64(2362), np.int64(2314), np.int64(2365), np.int64(2246), np.int64(2205), np.int64(2249), np.int64(2133), np.int64(2096), np.int64(2136), np.int64(2036), np.int64(1991), np.int64(2039), np.int64(1933), np.int64(1892), np.int64(1936), np.int64(1715), np.int64(1690), np.int64(1669), np.int64(1651), np.int64(1635), np.int64(3347), np.int64(3338), np.int64(3328), np.int64(3317), np.int64(3306), np.int64(1572), np.int64(1555), np.int64(1534), np.int64(1515), np.int64(1497), np.int64(1443), np.int64(1429), np.int64(1417), np.int64(1402), np.int64(1386), np.int64(32), np.int64(9), np.int64(4583), np.int64(4522), np.int64(4502), np.int64(4478), np.int64(4420), np.int64(4397), np.int64(4374), np.int64(4354), np.int64(4257), np.int64(4258), np.int64(4182), np.int64(616), np.int64(607), np.int64(596), np.int64(584), np.int64(573), np.int64(557), np.int64(1126), np.int64(1115), np.int64(1102), np.int64(1086), np.int64(1824), np.int64(1804), np.int64(1786), np.int64(1763), np.int64(2331), np.int64(2304), np.int64(2282), np.int64(2262), np.int64(2194), np.int64(2173), np.int64(2149), np.int64(2126), np.int64(1038), np.int64(1025), np.int64(1006), np.int64(986), np.int64(925), np.int64(909), np.int64(893), np.int64(877), np.int64(1625), np.int64(1604), np.int64(3855), np.int64(3814), np.int64(3067), np.int64(3051), np.int64(1061), np.int64(1046), np.int64(445), np.int64(427), np.int64(406), np.int64(384), np.int64(359), np.int64(335), np.int64(310), np.int64(281), np.int64(255), np.int64(225), np.int64(166), np.int64(147), np.int64(124), np.int64(100), np.int64(77), np.int64(52), np.int64(27), np.int64(5), np.int64(4580), np.int64(511), np.int64(499), np.int64(489), np.int64(829), np.int64(816), np.int64(801), np.int64(753), np.int64(739), np.int64(725), np.int64(705), np.int64(654), np.int64(645), np.int64(636), np.int64(623), np.int64(613), np.int64(578), np.int64(564), np.int64(550), np.int64(534), np.int64(521), np.int64(481), np.int64(469), np.int64(455), np.int64(439), np.int64(418), np.int64(566), np.int64(569), np.int64(538), np.int64(4519), np.int64(4500), np.int64(3006), np.int64(2983), np.int64(3009), np.int64(1378), np.int64(1359), np.int64(1343), np.int64(1325), np.int64(1309), np.int64(4435), np.int64(4394), np.int64(4370), np.int64(4350), np.int64(4323), np.int64(4285), np.int64(342), np.int64(319), np.int64(291), np.int64(263), np.int64(235), np.int64(213), np.int64(158), np.int64(138), np.int64(111), np.int64(88), np.int64(64), np.int64(40), np.int64(4530), np.int64(4510), np.int64(4491), np.int64(4471), np.int64(4363), np.int64(4334), np.int64(4302), np.int64(4269), np.int64(4131), np.int64(4116), np.int64(4098), np.int64(4076), np.int64(4056), np.int64(4033), np.int64(4010), np.int64(3956), np.int64(3932), np.int64(3909), np.int64(3886), np.int64(3869), np.int64(3853), np.int64(3830), np.int64(1166), np.int64(1158), np.int64(1245), np.int64(1261), np.int64(1209), np.int64(1193), np.int64(1771), np.int64(1747), np.int64(1719), np.int64(4558), np.int64(4537), np.int64(4517), np.int64(4459), np.int64(4433), np.int64(4412), np.int64(3219), np.int64(3201), np.int64(3184), np.int64(3168), np.int64(3113), np.int64(3095), np.int64(3079), np.int64(3064), np.int64(3005), np.int64(2993), np.int64(2980), np.int64(2964), np.int64(2903), np.int64(2891), np.int64(2879), np.int64(2858), np.int64(2817), np.int64(2803), np.int64(2787), np.int64(2771), np.int64(2740), np.int64(2732), np.int64(2722), np.int64(2710), np.int64(2658), np.int64(2641), np.int64(2624), np.int64(2610), np.int64(4153), np.int64(4110), np.int64(4152), np.int64(1225), np.int64(1214), np.int64(1201), np.int64(1164), np.int64(1155), np.int64(1144), np.int64(2734), np.int64(2725), np.int64(1160), np.int64(1151), np.int64(996), np.int64(973), np.int64(919), np.int64(899), np.int64(1112), np.int64(1098), np.int64(1081), np.int64(1065), np.int64(1019), np.int64(999), np.int64(977), np.int64(956), np.int64(810), np.int64(792), np.int64(765), np.int64(3975), np.int64(3958), np.int64(3912), np.int64(3890), np.int64(423), np.int64(400), np.int64(377), np.int64(351), np.int64(328), np.int64(302), np.int64(274), np.int64(247), np.int64(3947), np.int64(3923), np.int64(3924), np.int64(3900), np.int64(3901), np.int64(3879), np.int64(788), np.int64(789), np.int64(772), np.int64(463), np.int64(412), np.int64(464), np.int64(363), np.int64(286), np.int64(364), np.int64(3229), np.int64(3265), np.int64(3252), np.int64(3238), np.int64(2445), np.int64(2423), np.int64(2401), np.int64(2380), np.int64(4342), np.int64(4343), np.int64(4311), np.int64(4312), np.int64(2258), np.int64(2301), np.int64(2237), np.int64(2278), np.int64(734), np.int64(718), np.int64(698), np.int64(2143), np.int64(2169), np.int64(2145), np.int64(227), np.int64(191), np.int64(1591), np.int64(1558), np.int64(3158), np.int64(3140), np.int64(3124), np.int64(4103), np.int64(4083), np.int64(4061), np.int64(4041), np.int64(179), np.int64(144), np.int64(2927), np.int64(3616), np.int64(3618), np.int64(3594), np.int64(3596), np.int64(3570), np.int64(3547), np.int64(3492), np.int64(3472), np.int64(3453), np.int64(3438), np.int64(3770), np.int64(3750), np.int64(3729), np.int64(3707), np.int64(3683), np.int64(3661), np.int64(3634), np.int64(3611), np.int64(3589), np.int64(2564), np.int64(2535), np.int64(2567), np.int64(2470), np.int64(2455), np.int64(2433), np.int64(2355), np.int64(2308), np.int64(2358), np.int64(2242), np.int64(2221), np.int64(2198), np.int64(2177), np.int64(2153), np.int64(1930), np.int64(1887), np.int64(1779), np.int64(1758), np.int64(1730), np.int64(1704), np.int64(1541), np.int64(1520), np.int64(1503), np.int64(1483), np.int64(1464), np.int64(3978), np.int64(3963), np.int64(3939), np.int64(3916), np.int64(1922), np.int64(1901), np.int64(1880), np.int64(1856), np.int64(2316), np.int64(2294), np.int64(2272), np.int64(2207), np.int64(2187), np.int64(2163), np.int64(2070), np.int64(2049), np.int64(2028), np.int64(1570), np.int64(1551), np.int64(1529), np.int64(95), np.int64(71), np.int64(1472), np.int64(1453), np.int64(1440)]",94.74,6685,1,"['6685_3', '6685_4']",2
0_30351_1,hetero,3,2,74,"['Cofilin-1', 'Cofilin-2']",2,"[np.int64(270), np.int64(298), np.int64(347), np.int64(2093), np.int64(2076), np.int64(2056), np.int64(2035), np.int64(2012), np.int64(1950), np.int64(1909), np.int64(1865), np.int64(1544), np.int64(1243), np.int64(1229), np.int64(1220), np.int64(1206), np.int64(1188), np.int64(2705), np.int64(2690), np.int64(2671), np.int64(2653), np.int64(2637), np.int64(2619), np.int64(2605), np.int64(2589), np.int64(2540), np.int64(2522), np.int64(2500), np.int64(2480), np.int64(2440), np.int64(2416), np.int64(2394), np.int64(2370), np.int64(2342), np.int64(2100), np.int64(2083), np.int64(2064), np.int64(2044), np.int64(2018), np.int64(1996), np.int64(1976), np.int64(1959), np.int64(1941), np.int64(1917), np.int64(1895), np.int64(1874), np.int64(1850), np.int64(1830), np.int64(1789), np.int64(1767), np.int64(1742), np.int64(1665), np.int64(1647), np.int64(1631), np.int64(1609), np.int64(1588), np.int64(4290), np.int64(4378), np.int64(4358), np.int64(241), np.int64(1798), np.int64(1640), np.int64(1620), np.int64(1597), np.int64(1578), np.int64(1421), np.int64(1406), np.int64(1391), np.int64(1372), np.int64(1319), np.int64(1303), np.int64(1288), np.int64(1272), np.int64(1255)]",90.68,29177,1,"['29177_0', '6685_0', '6685_200']",3
0_30351_0,hetero,3,2,62,"['Cofilin-1', 'Cofilin-2']",2,"[np.int64(243), np.int64(269), np.int64(322), np.int64(295), np.int64(2092), np.int64(2075), np.int64(2055), np.int64(2034), np.int64(2011), np.int64(1988), np.int64(1968), np.int64(1949), np.int64(1908), np.int64(1864), np.int64(1820), np.int64(1505), np.int64(1219), np.int64(1205), np.int64(1187), np.int64(2670), np.int64(2652), np.int64(2636), np.int64(2588), np.int64(2574), np.int64(2557), np.int64(2499), np.int64(2479), np.int64(2460), np.int64(2393), np.int64(2369), np.int64(2341), np.int64(2063), np.int64(2043), np.int64(2017), np.int64(1958), np.int64(1940), np.int64(1916), np.int64(1849), np.int64(1829), np.int64(1809), np.int64(1741), np.int64(1713), np.int64(1687), np.int64(1630), np.int64(1608), np.int64(1587), np.int64(4262), np.int64(4328), np.int64(4289), np.int64(1797), np.int64(1751), np.int64(1619), np.int64(1596), np.int64(1577), np.int64(1562), np.int64(1390), np.int64(1371), np.int64(1354), np.int64(1337), np.int64(1287), np.int64(1271), np.int64(1254)]",58.44,29177,1,"['29177_1', '6685_21']",2
0_7797_12,homo,1,1,54,[],0,"[np.int64(4294), np.int64(4380), np.int64(4360), np.int64(324), np.int64(296), np.int64(346), np.int64(2091), np.int64(2074), np.int64(2054), np.int64(2033), np.int64(2010), np.int64(1948), np.int64(1907), np.int64(1863), np.int64(1642), np.int64(1623), np.int64(1601), np.int64(1423), np.int64(1409), np.int64(1395), np.int64(1376), np.int64(1321), np.int64(1306), np.int64(1292), np.int64(1242), np.int64(1228), np.int64(1218), np.int64(2704), np.int64(2689), np.int64(2669), np.int64(2618), np.int64(2604), np.int64(2587), np.int64(2539), np.int64(2521), np.int64(2498), np.int64(2439), np.int64(2415), np.int64(2392), np.int64(2098), np.int64(2082), np.int64(2062), np.int64(1993), np.int64(1974), np.int64(1957), np.int64(1894), np.int64(1873), np.int64(1848), np.int64(1788), np.int64(1766), np.int64(1740), np.int64(1664), np.int64(1646), np.int64(1629)]",34.91,6685,1,"['6685_17', '6685_23', '6685_275']",3
0_7797_50,homo,1,1,47,[],0,"[np.int64(2334), np.int64(2356), np.int64(2357), np.int64(2286), np.int64(2241), np.int64(2220), np.int64(2197), np.int64(2176), np.int64(2152), np.int64(2129), np.int64(2090), np.int64(2073), np.int64(2053), np.int64(2032), np.int64(2009), np.int64(1987), np.int64(1947), np.int64(1929), np.int64(1906), np.int64(1886), np.int64(1862), np.int64(1841), np.int64(1800), np.int64(1778), np.int64(1757), np.int64(1729), np.int64(1703), np.int64(1679), np.int64(1641), np.int64(1622), np.int64(1600), np.int64(1581), np.int64(1540), np.int64(1519), np.int64(1502), np.int64(1482), np.int64(1463), np.int64(1448), np.int64(1422), np.int64(1408), np.int64(1394), np.int64(1375), np.int64(1357), np.int64(1320), np.int64(1305), np.int64(1291), np.int64(1227)]",35.28,6685,1,"['6685_1', '6685_109', '6685_2']",3
0_7797_10,homo,1,1,46,[],0,"[np.int64(4331), np.int64(4330), np.int64(4381), np.int64(4379), np.int64(345), np.int64(268), np.int64(323), np.int64(297), np.int64(577), np.int64(563), np.int64(1159), np.int64(1150), np.int64(1276), np.int64(1241), np.int64(1217), np.int64(1204), np.int64(2703), np.int64(2688), np.int64(2668), np.int64(2651), np.int64(2617), np.int64(2603), np.int64(2586), np.int64(2538), np.int64(2520), np.int64(2497), np.int64(2478), np.int64(2438), np.int64(2414), np.int64(2391), np.int64(2368), np.int64(2097), np.int64(2081), np.int64(2061), np.int64(2042), np.int64(1973), np.int64(1956), np.int64(1939), np.int64(1893), np.int64(1872), np.int64(1847), np.int64(1765), np.int64(1663), np.int64(1645), np.int64(1628), np.int64(1607)]",44.59,6685,1,"['6685_1', '6685_109', '6685_2', '6685_216', '6685_274']",5
0_84583_0,hetero,2,1,26,"['Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase']",1,"[np.int64(2335), np.int64(2310), np.int64(2354), np.int64(2287), np.int64(2266), np.int64(2243), np.int64(2223), np.int64(2200), np.int64(2179), np.int64(2155), np.int64(2131), np.int64(2113), np.int64(1931), np.int64(1888), np.int64(1842), np.int64(1542), np.int64(1522), np.int64(1484), np.int64(1466), np.int64(1450), np.int64(1436), np.int64(1775), np.int64(1724), np.int64(1699), np.int64(1674), np.int64(1658)]",76.12,67859,1,"['6685_261', '67859_0']",2
0_84583_1,hetero,2,1,23,"['Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase']",1,"[np.int64(2336), np.int64(2360), np.int64(2288), np.int64(2244), np.int64(2224), np.int64(2201), np.int64(2180), np.int64(2156), np.int64(2132), np.int64(1951), np.int64(1911), np.int64(1867), np.int64(1543), np.int64(1506), np.int64(1485), np.int64(1467), np.int64(1451), np.int64(2306), np.int64(1799), np.int64(1753), np.int64(1726), np.int64(1698), np.int64(1676)]",16.61,67859,1,"['6685_262', '6685_265', '67859_1']",3
0_84583_2,hetero,2,1,22,"['Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase']",1,"[np.int64(2309), np.int64(2359), np.int64(2265), np.int64(2222), np.int64(2199), np.int64(2178), np.int64(2154), np.int64(2130), np.int64(2112), np.int64(1910), np.int64(1866), np.int64(1821), np.int64(1521), np.int64(1504), np.int64(1465), np.int64(1449), np.int64(1435), np.int64(2284), np.int64(1752), np.int64(1697), np.int64(1675), np.int64(1657)]",37.32,67859,1,"['6685_264', '67859_2']",2
