pdb_id,chain,protein,is_actin
8iai,8iai_1,Adducin 1,False
8iai,8iai_2,Adducin 1,False
8iai,8iai_3,Beta-adducin,False
8iai,8iai_4,Beta-adducin,False
8iai,8iai_9,Adducin 1,False
8iai,8iai_I,"Actin, cytoplasmic 1",True
8iai,8iai_K,"Actin, cytoplasmic 1",True
8iai,8iai_S,Spectrin beta chain,False
8iai,8iai_U,Tropomyosin-1.9,False
8iai,8iai_J,"Actin, cytoplasmic 1",True
8iai,8iai_T,Spectrin beta chain,False
8iai,8iai_V,Tropomyosin 3,False
8iai,8iai_5,Dematin actin binding protein,False
8iai,8iai_C,"Actin, cytoplasmic 1",True
8iai,8iai_D,"Actin, cytoplasmic 1",True
8iai,8iai_E,"Actin, cytoplasmic 1",True
8iai,8iai_M,Spectrin beta chain,False
8iai,8iai_N,Spectrin beta chain,False
8iai,8iai_O,Spectrin beta chain,False
8iai,8iai_P,Spectrin beta chain,False
8iai,8iai_6,Dematin actin binding protein,False
8iai,8iai_F,"Actin, cytoplasmic 1",True
8iai,8iai_G,"Actin, cytoplasmic 1",True
8iai,8iai_Q,Spectrin beta chain,False
8iai,8iai_R,Spectrin beta chain,False
8iai,8iai_7,Dematin actin binding protein,False
8iai,8iai_H,"Actin, cytoplasmic 1",True
8iai,8iai_A,"Actin, cytoplasmic 1",True
8iai,8iai_B,"Actin, cytoplasmic 1",True
8iai,8iai_Y,Tropomodulin-1,False
8iai,8iai_Z,SH3 domain-binding glutamic acid-rich-like protein,False
8efi,8efi_M,Myosin-7,False
8efi,8efi_B,"Actin, alpha cardiac muscle 1",True
8efi,8efi_F,"Actin, alpha cardiac muscle 1",True
8efi,8efi_D,"Actin, alpha cardiac muscle 1",True
8efi,8efi_P,Tropomyosin alpha-1 chain,False
8efi,8efi_C,"Actin, alpha cardiac muscle 1",True
8efi,8efi_E,"Actin, alpha cardiac muscle 1",True
8efi,8efi_O,Tropomyosin alpha-1 chain,False
6c1d,6c1d_P,Unconventional myosin-Ib,False
6c1d,6c1d_R,Calmodulin,False
6c1d,6c1d_D,"Actin, alpha skeletal muscle",True
6c1d,6c1d_B,"Actin, alpha skeletal muscle",True
6c1d,6c1d_E,"Actin, alpha skeletal muscle",True
6c1d,6c1d_C,"Actin, alpha skeletal muscle",True
6c1d,6c1d_A,"Actin, alpha skeletal muscle",True
8c4e,8c4e_A,"Actin, alpha skeletal muscle",True
8c4e,8c4e_B,"Actin, alpha skeletal muscle",True
