interaction_id,pdb_id,structure_title,release_date,resolution,chain_A_id,chain_B_id,interface_area,num_contacts,num_hbonds,num_salt_bridges,source_url
1,8iai,"Structure of mammalian spectrin-actin junctional complex of membrane skeleton, State II, Global map",2023-05-03,3.5 Å,8iai_H,8iai_7,1213.28 Å²,103,8.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965312/1987830/72502379/2132146
10,8efi,Helical reconstruction of the human cardiac actin-tropomyosin-myosin complex in the rigor form,2022-11-23,3.4 Å,8efi_C,8efi_P,188.17 Å²,17,,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965568/1836813/68056552/1999192
100,8iai,"Structure of mammalian spectrin-actin junctional complex of membrane skeleton, State II, Global map",2023-05-03,3.5 Å,8iai_F,8iai_D,1145.99 Å²,86,3.0,3.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965316/1987885/72502482/2132174
1001,3j8a,Structure of the F-actin-tropomyosin complex,2014-12-10,3.7 Å,3j8a_A,3j8a_D,432.51 Å²,38,3.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965880/278568/12806731/348526
1002,3j8a,Structure of the F-actin-tropomyosin complex,2014-12-10,3.7 Å,3j8a_D,3j8a_B,423.72 Å²,40,3.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965880/278564/12806733/348524
1005,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_C,7utj_D,378.16 Å²,32,4.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966136/1891425/70534907/2073294
1006,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_C,7utj_E,1145.33 Å²,93,7.0,4.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966136/1891427/70534908/2073295
1007,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_C,7utj_H,802.91 Å²,68,3.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966136/1891429/70534911/2073296
1008,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_C,7utj_Z,1200.05 Å²,88,3.0,2.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966136/1891431/70534915/2073297
1009,4b1z,Structure of the Phactr1 RPEL domain bound to G-actin,2012-11-07,3.3 Å,4b1z_D,4b1z_N,704.80 Å²,58,2.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966392/51627/20032423/57762
101,8iai,"Structure of mammalian spectrin-actin junctional complex of membrane skeleton, State II, Global map",2023-05-03,3.5 Å,8iai_D,8iai_N,1173.15 Å²,98,5.0,4.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965316/1987887/72502489/2132175
1010,4b1z,Structure of the Phactr1 RPEL domain bound to G-actin,2012-11-07,3.3 Å,4b1z_D,4b1z_E,217.95 Å²,19,2.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966392/51633/20032429/57766
1011,4b1z,Structure of the Phactr1 RPEL domain bound to G-actin,2012-11-07,3.3 Å,4b1z_D,4b1z_B,315.65 Å²,29,2.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966392/51612/20032432/57773
1012,4b1z,Structure of the Phactr1 RPEL domain bound to G-actin,2012-11-07,3.3 Å,4b1z_D,4b1z_C,309.55 Å²,25,1.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966392/51632/20032433/57764
1018,8vkh,Structure of gelsolin domains G1-G3 bound to the barbed end of F-actin,2024-10-16,3.6 Å,8vkh_B,8vkh_A,472.38 Å²,39,3.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965625/2346809/82398712/2432695
1019,8vkh,Structure of gelsolin domains G1-G3 bound to the barbed end of F-actin,2024-10-16,3.6 Å,8vkh_C,8vkh_A,1178.17 Å²,96,7.0,4.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965625/2346811/82398713/2432696
102,8iai,"Structure of mammalian spectrin-actin junctional complex of membrane skeleton, State II, Global map",2023-05-03,3.5 Å,8iai_D,8iai_P,339.24 Å²,27,2.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965316/1987889/72502491/2132176
1020,3j8a,Structure of the F-actin-tropomyosin complex,2014-12-10,3.7 Å,3j8a_E,3j8a_D,1067.96 Å²,102,4.0,4.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965881/278572/12806727/348528
1021,3j8a,Structure of the F-actin-tropomyosin complex,2014-12-10,3.7 Å,3j8a_E,3j8a_A,409.22 Å²,38,3.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965881/278570/12806728/348527
1022,3j8a,Structure of the F-actin-tropomyosin complex,2014-12-10,3.7 Å,3j8a_C,3j8a_E,436.64 Å²,39,3.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965881/278562/12806729/348525
1024,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_B,7utj_C,376.57 Å²,32,4.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966137/1891417/70534897/2073290
1025,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_B,7utj_D,1149.38 Å²,93,6.0,4.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966137/1891419/70534898/2073291
1026,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_B,7utj_G,808.66 Å²,70,3.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966137/1891421/70534901/2073292
1027,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_B,7utj_I,1175.99 Å²,86,4.0,2.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966137/1891423/70534903/2073293
1033,8dnh,Cryo-EM structure of nonmuscle beta-actin,2023-04-12,3.0 Å,8dnh_D,8dnh_C,302.25 Å²,23,1.0,2.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965370/1981169/71903095/2128680
1036,8viz,Structure of full-length gelsolin bound to the barbed end of F-actin,2024-10-16,2.6 Å,8viz_F,8viz_G,2611.43 Å²,212,23.0,6.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965626/2346807/82398711/2432694
1037,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_A,7utj_B,377.27 Å²,32,3.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966138/1891411/70534886/2073287
1038,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_A,7utj_C,1145.03 Å²,93,6.0,4.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966138/1891413/70534887/2073288
1039,7utj,Cryogenic electron microscopy 3D map of F-actin bound by human dimeric alpha-catenin,2023-03-08,2.8 Å,7utj_A,7utj_H,1199.55 Å²,89,3.0,2.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966138/1891415/70534892/2073289
104,7jh7,cardiac actomyosin complex,2020-10-28,3.8 Å,7jh7_C,7jh7_H,1142.49 Å²,104,5.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965572/1516747/57502905/1631676
1043,6iug,Cryo-EM structure of the plant actin filaments from Zea mays pollen,2019-11-06,3.9 Å,6iug_D,6iug_E,470.45 Å²,38,2.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966650/1513069/57540464/1624090
1045,8dnh,Cryo-EM structure of nonmuscle beta-actin,2023-04-12,3.0 Å,8dnh_C,8dnh_B,370.04 Å²,29,3.0,2.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965371/1981165/71903093/2128678
1046,8dnh,Cryo-EM structure of nonmuscle beta-actin,2023-04-12,3.0 Å,8dnh_D,8dnh_B,1089.46 Å²,88,3.0,3.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965371/1981167/71903094/2128679
1049,8viz,Structure of full-length gelsolin bound to the barbed end of F-actin,2024-10-16,2.6 Å,8viz_F,8viz_E,446.21 Å²,38,3.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965627/2346803/82398709/2432692
105,7jh7,cardiac actomyosin complex,2020-10-28,3.8 Å,7jh7_E,7jh7_C,533.48 Å²,48,1.0,2.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965572/1516753/57502906/1631678
1050,8viz,Structure of full-length gelsolin bound to the barbed end of F-actin,2024-10-16,2.6 Å,8viz_E,8viz_G,1390.45 Å²,122,5.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965627/2346805/82398710/2432693
1054,7uuw,"Cryogenic electron microscopy 3D map of F-actin bound by the Actin Binding Domain of alpha-catenin ortholog, HMP1",2023-01-18,3.4 Å,7uuw_F,7uuw_K,717.06 Å²,59,4.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966139/1864713/68773534/2029212
1058,6iug,Cryo-EM structure of the plant actin filaments from Zea mays pollen,2019-11-06,3.9 Å,6iug_C,6iug_D,468.15 Å²,38,2.0,1.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966651/1513065/57540462/1624088
1059,6iug,Cryo-EM structure of the plant actin filaments from Zea mays pollen,2019-11-06,3.9 Å,6iug_C,6iug_E,1023.43 Å²,84,5.0,3.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13966651/1513067/57540463/1624089
1060,8dnh,Cryo-EM structure of nonmuscle beta-actin,2023-04-12,3.0 Å,8dnh_B,8dnh_A,323.46 Å²,25,1.0,2.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965372/1981161/71903090/2128676
1061,8dnh,Cryo-EM structure of nonmuscle beta-actin,2023-04-12,3.0 Å,8dnh_C,8dnh_A,1071.46 Å²,88,5.0,3.0,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965372/1981163/71903091/2128677
1064,8viz,Structure of full-length gelsolin bound to the barbed end of F-actin,2024-10-16,2.6 Å,8viz_E,8viz_D,397.73 Å²,31,3.0,,https://bioinformatics.lt/ppi3d/site/interaction_details/single_sequence/rIiStfbc/1/null/13965628/2346797/82398706/2432689
