Link to details,Interactor 1,Interactor 1 title,Interactor 1 source organism,Interactor 1 sequence length,SCOP family 1,Interactor 2,Interactor 2 title,Interactor 2 source organism,Interactor 2 sequence length,SCOP family 2,Interface type,"Buried surface area, Å2",No. of contacts,No. of members in cluster,pdb_id
1 Details,8iai_1,Adducin 1,Sus scrofa,744,,8iai_2,Adducin 1,Sus scrofa,744,,homo,352.77,31,1,8iai
2 Details,8iai_1,Adducin 1,Sus scrofa,744,,8iai_3,Beta-adducin,Sus scrofa,724,,hetero,2488.74,225,1,8iai
3 Details,8iai_1,Adducin 1,Sus scrofa,744,,8iai_4,Beta-adducin,Sus scrofa,724,,hetero,1490.62,123,1,8iai
4 Details,8iai_1,Adducin 1,Sus scrofa,744,,8iai_9,Adducin 1,Sus scrofa,744,,homo,153.62,13,1,8iai
5 Details,8iai_1,Adducin 1,Sus scrofa,744,,8iai_I,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,909.82,71,1,8iai
6 Details,8iai_1,Adducin 1,Sus scrofa,744,,8iai_K,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,753.99,66,1,8iai
7 Details,8iai_1,Adducin 1,Sus scrofa,744,,8iai_S,Spectrin beta chain,Sus scrofa,2148,,hetero,474.06,35,1,8iai
8 Details,8iai_1,Adducin 1,Sus scrofa,744,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,155.6,11,1,8iai
9 Details,8iai_2,Adducin 1,Sus scrofa,744,,8iai_3,Beta-adducin,Sus scrofa,724,,hetero,1589.72,136,1,8iai
10 Details,8iai_2,Adducin 1,Sus scrofa,744,,8iai_4,Beta-adducin,Sus scrofa,724,,hetero,1772.71,149,1,8iai
11 Details,8iai_3,Beta-adducin,Sus scrofa,724,,8iai_9,Adducin 1,Sus scrofa,744,,hetero,169.72,12,1,8iai
12 Details,8iai_3,Beta-adducin,Sus scrofa,724,,8iai_J,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,855.62,69,1,8iai
13 Details,8iai_3,Beta-adducin,Sus scrofa,724,,8iai_K,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,411.7,40,1,8iai
14 Details,8iai_3,Beta-adducin,Sus scrofa,724,,8iai_T,Spectrin beta chain,Sus scrofa,2148,,hetero,572.65,40,1,8iai
15 Details,8iai_3,Beta-adducin,Sus scrofa,724,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,464.14,40,1,8iai
16 Details,8iai_3,Beta-adducin,Sus scrofa,724,,8iai_V,Tropomyosin 3,Sus scrofa,248,,hetero,764.92,60,1,8iai
17 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1296.9,101,1,8iai
18 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1234.28,111,1,8iai
19 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,348.75,30,1,8iai
