interaction_id,chain_id,protein_name,organism,num_residues
1,8iai_7,Dematin actin binding protein,Sus scrofa,405
1,8iai_H,"Actin, cytoplasmic 1",Sus scrofa,375
10,8efi_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377
10,8efi_P,Tropomyosin alpha-1 chain,Homo sapiens,284
100,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375
100,8iai_F,"Actin, cytoplasmic 1",Sus scrofa,375
1001,3j8a_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1001,3j8a_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1002,3j8a_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1002,3j8a_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1005,7utj_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1005,7utj_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1006,7utj_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1006,7utj_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1007,7utj_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1007,7utj_H,Catenin alpha-1,Homo sapiens,889
1008,7utj_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1008,7utj_Z,Catenin alpha-1,Homo sapiens,889
1009,4b1z_D,"ACTIN, ALPHA SKELETAL MUSCLE",Oryctolagus cuniculus,376
1009,4b1z_N,PHOSPHATASE AND ACTIN REGULATOR 1,Mus musculus,115
101,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375
101,8iai_N,Spectrin beta chain,Sus scrofa,2148
1010,4b1z_D,"ACTIN, ALPHA SKELETAL MUSCLE",Oryctolagus cuniculus,376
1010,4b1z_E,"ACTIN, ALPHA SKELETAL MUSCLE",Oryctolagus cuniculus,376
1011,4b1z_B,"ACTIN, ALPHA SKELETAL MUSCLE",Oryctolagus cuniculus,376
1011,4b1z_D,"ACTIN, ALPHA SKELETAL MUSCLE",Oryctolagus cuniculus,376
1012,4b1z_C,"ACTIN, ALPHA SKELETAL MUSCLE",Oryctolagus cuniculus,376
1012,4b1z_D,"ACTIN, ALPHA SKELETAL MUSCLE",Oryctolagus cuniculus,376
1018,8vkh_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1018,8vkh_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1019,8vkh_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1019,8vkh_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
102,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375
102,8iai_P,Spectrin beta chain,Sus scrofa,2148
1020,3j8a_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
